sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,decile_score,score_text,two_year_recid,sex_race
male,30,25 - 45,african-american,0,0,0,1,f,deliver cocaine,6,medium,1,male-african-american
male,61,greater than 45,african-american,0,0,0,1,m,arrest case no charge,1,low,0,male-african-american
female,49,greater than 45,caucasian,0,0,0,8,f,arrest case no charge,2,low,0,female-caucasian
male,23,less than 25,african-american,0,0,0,0,f,tampering with physical evidence,7,medium,0,male-african-american
male,21,less than 25,caucasian,0,0,0,0,f,sale/del cannabis at/near scho,9,high,1,male-caucasian
male,26,25 - 45,hispanic,0,0,1,7,m,battery,4,low,0,male-hispanic
male,27,25 - 45,african-american,0,0,1,2,m,possess cannabis/20 grams or less,9,high,0,male-african-american
male,38,25 - 45,caucasian,0,0,0,1,m,battery,6,medium,0,male-caucasian
male,26,25 - 45,caucasian,0,0,0,0,m,battery,2,low,0,male-caucasian
male,23,less than 25,caucasian,0,0,1,2,f,poss of firearm by convic felo,7,medium,0,male-caucasian
female,36,25 - 45,african-american,0,0,0,0,m,dui level 0.15 or minor in veh,1,low,0,female-african-american
male,58,greater than 45,caucasian,0,0,0,1,f,arrest case no charge,1,low,0,male-caucasian
female,35,25 - 45,caucasian,0,0,0,4,f,felony battery w/prior convict,3,low,0,female-caucasian
male,23,less than 25,african-american,0,0,0,3,f,burglary unoccupied dwelling,7,medium,0,male-african-american
male,40,25 - 45,caucasian,0,0,0,1,f,attempted robbery  no weapon,1,low,0,male-caucasian
male,31,25 - 45,hispanic,0,0,0,3,f,tamper with witness/victim/ci,3,low,0,male-hispanic
female,34,25 - 45,hispanic,0,0,0,5,f,live on earnings of prostitute,4,low,0,female-hispanic
female,26,25 - 45,african-american,0,0,0,3,f,burglary with assault/battery,5,medium,0,female-african-american
male,49,greater than 45,african-american,0,0,0,1,f,felony battery (dom strang),1,low,0,male-african-american
female,47,greater than 45,hispanic,0,0,0,0,m,battery,1,low,0,female-hispanic
male,47,greater than 45,african-american,0,0,0,6,f,att tamper w/physical evidence,2,low,0,male-african-american
male,27,25 - 45,african-american,0,0,0,10,f,arrest case no charge,9,high,0,male-african-american
female,52,greater than 45,caucasian,0,0,0,0,m,battery,1,low,0,female-caucasian
male,25,25 - 45,african-american,0,0,1,9,f,driving while license revoked,7,medium,0,male-african-american
male,51,greater than 45,african-american,0,0,0,1,f,arrest case no charge,2,low,0,male-african-american
female,29,25 - 45,african-american,0,0,0,1,m,refuse to supply dna sample,2,low,0,female-african-american
male,46,greater than 45,caucasian,0,0,0,0,f,stalking (aggravated),1,low,0,male-caucasian
male,28,25 - 45,caucasian,0,0,0,6,f,grand theft in the 3rd degree,4,low,0,male-caucasian
male,57,greater than 45,african-american,0,0,0,0,f,felony battery (dom strang),1,low,0,male-african-american
male,23,less than 25,hispanic,0,0,0,2,f,sel/pur/mfr/del control substa,5,medium,0,male-hispanic
male,27,25 - 45,african-american,0,0,0,3,f,arrest case no charge,3,low,0,male-african-american
male,31,25 - 45,caucasian,0,0,0,1,f,grand theft in the 3rd degree,7,medium,1,male-caucasian
male,37,25 - 45,african-american,0,0,0,8,f,burglary unoccupied dwelling,2,low,0,male-african-american
male,51,greater than 45,african-american,0,0,0,0,f,possession of cocaine,2,low,1,male-african-american
male,28,25 - 45,african-american,0,1,0,8,f,resist officer w/violence,6,medium,0,male-african-american
male,56,greater than 45,caucasian,0,0,0,4,f,possession of cocaine,1,low,0,male-caucasian
male,26,25 - 45,caucasian,0,0,0,7,f,burglary dwelling occupied,6,medium,1,male-caucasian
male,33,25 - 45,caucasian,0,0,0,7,f,felony battery (dom strang),8,high,1,male-caucasian
male,23,less than 25,caucasian,0,0,3,0,m,battery,4,low,0,male-caucasian
male,31,25 - 45,african-american,0,0,0,0,m,poss drugs w/o a prescription,2,low,0,male-african-american
male,31,25 - 45,other,0,0,0,0,m,battery,3,low,0,male-other
male,19,less than 25,hispanic,1,0,0,1,f,arrest case no charge,9,high,0,male-hispanic
male,32,25 - 45,caucasian,0,0,0,0,f,aggravated assault w/o firearm,1,low,0,male-caucasian
male,66,greater than 45,caucasian,0,0,0,1,f,arrest case no charge,1,low,0,male-caucasian
female,40,25 - 45,african-american,0,0,0,0,f,grand theft in the 1st degree,1,low,0,female-african-american
male,59,greater than 45,african-american,0,0,0,4,m,battery,2,low,0,male-african-american
male,27,25 - 45,african-american,0,0,0,3,m,leave accd/attend veh/less $50,7,medium,0,male-african-american
male,22,less than 25,african-american,0,0,0,0,f,grand theft in the 3rd degree,3,low,0,male-african-american
male,58,greater than 45,caucasian,0,0,0,1,f,fel drive license perm revoke,1,low,0,male-caucasian
male,29,25 - 45,caucasian,0,0,0,2,f,grand theft in the 3rd degree,3,low,0,male-caucasian
male,27,25 - 45,african-american,0,0,0,0,f,aggravated assault w/dead weap,8,high,1,male-african-american
male,24,less than 25,caucasian,0,0,0,0,f,possession of alprazolam,5,medium,0,male-caucasian
female,35,25 - 45,caucasian,0,1,0,3,f,aggrav battery w/deadly weapon,4,low,0,female-caucasian
male,30,25 - 45,african-american,1,0,0,5,f,aggravated assault w/dead weap,9,high,1,male-african-american
male,23,less than 25,african-american,0,1,1,1,f,possession burglary tools,2,low,0,male-african-american
male,32,25 - 45,caucasian,0,0,0,2,f,possession of heroin,4,low,1,male-caucasian
male,22,less than 25,caucasian,0,0,0,2,f,arrest case no charge,5,medium,0,male-caucasian
male,21,less than 25,african-american,0,0,0,0,m,battery,3,low,0,male-african-american
female,43,25 - 45,caucasian,0,0,0,0,m,battery,2,low,0,female-caucasian
male,29,25 - 45,african-american,0,0,0,0,f,poss of cocaine w/i/d/s 1000ft park,8,high,0,male-african-american
male,43,25 - 45,african-american,0,0,0,1,f,robbery sudd snatch no weapon,3,low,0,male-african-american
male,25,25 - 45,african-american,0,0,0,1,f,arrest case no charge,2,low,0,male-african-american
male,47,greater than 45,caucasian,0,0,0,0,m,battery,1,low,0,male-caucasian
female,21,less than 25,african-american,0,0,0,0,f,grand theft in the 3rd degree,5,medium,0,female-african-american
male,54,greater than 45,caucasian,0,0,0,0,m,battery,1,low,0,male-caucasian
male,34,25 - 45,african-american,0,0,1,3,f,lewd act presence child 16-,1,low,1,male-african-american
female,28,25 - 45,african-american,0,0,0,2,m,battery,2,low,0,female-african-american
male,54,greater than 45,african-american,0,0,0,0,m,soliciting for prostitution,1,low,0,male-african-american
male,34,25 - 45,african-american,0,0,0,2,f,felony driving while lic suspd,4,low,0,male-african-american
male,22,less than 25,african-american,0,0,0,0,f,grand theft in the 3rd degree,4,low,0,male-african-american
male,51,greater than 45,african-american,0,0,0,3,f,felony driving while lic suspd,7,medium,0,male-african-american
male,28,25 - 45,african-american,0,0,1,5,m,arrest case no charge,6,medium,0,male-african-american
male,43,25 - 45,caucasian,0,0,0,4,m,battery,2,low,0,male-caucasian
male,45,greater than 45,hispanic,0,0,0,1,m,battery,6,medium,0,male-hispanic
male,41,25 - 45,hispanic,0,0,0,1,m,aggrav battery w/deadly weapon,1,low,0,male-hispanic
male,25,25 - 45,other,20,0,0,24,f,arrest case no charge,10,high,1,male-other
male,35,25 - 45,hispanic,0,1,0,12,f,aggravated assault w/dead weap,9,high,0,male-hispanic
male,24,less than 25,asian,0,0,0,0,m,battery,3,low,0,male-asian
male,28,25 - 45,hispanic,0,0,0,0,f,grand theft in the 3rd degree,4,low,0,male-hispanic
male,29,25 - 45,african-american,0,1,0,13,f,poss pyrrolidinovalerophenone,10,high,1,male-african-american
male,26,25 - 45,african-american,0,0,0,9,f,drivg while lic suspd/revk/can,8,high,1,male-african-american
male,31,25 - 45,other,0,0,0,0,m,viol prot injunc repeat viol,1,low,0,male-other
male,28,25 - 45,caucasian,0,0,0,0,f,"deliver 3,4 methylenediox",7,medium,0,male-caucasian
male,44,25 - 45,caucasian,0,0,0,0,m,battery,1,low,0,male-caucasian
male,42,25 - 45,african-american,0,0,0,7,m,driving license suspended,5,medium,0,male-african-american
male,39,25 - 45,african-american,0,0,0,5,f,grand theft in the 3rd degree,7,medium,0,male-african-american
female,46,greater than 45,hispanic,0,0,0,2,f,grand theft in the 3rd degree,1,low,0,female-hispanic
male,55,greater than 45,caucasian,0,0,0,0,m,battery,5,medium,0,male-caucasian
female,31,25 - 45,caucasian,0,0,0,0,m,battery,9,high,0,female-caucasian
male,25,25 - 45,african-american,0,0,0,0,f,poss tetrahydrocannabinols,2,low,0,male-african-american
male,32,25 - 45,caucasian,0,0,2,6,m,refuse submit blood/breath test,7,medium,0,male-caucasian
male,36,25 - 45,african-american,0,0,0,2,f,driving while license revoked,5,medium,0,male-african-american
male,39,25 - 45,caucasian,0,0,0,2,m,driving under the influence,4,low,0,male-caucasian
female,26,25 - 45,african-american,0,0,0,0,m,battery,2,low,0,female-african-american
female,22,less than 25,other,0,0,0,0,f,aggrav battery w/deadly weapon,4,low,0,female-other
male,37,25 - 45,caucasian,0,0,0,3,m,driving under the influence,1,low,0,male-caucasian
male,41,25 - 45,caucasian,0,0,0,9,m,battery,6,medium,0,male-caucasian
male,25,25 - 45,african-american,0,0,0,1,m,battery,3,low,0,male-african-american
male,58,greater than 45,caucasian,0,0,0,0,m,battery,1,low,0,male-caucasian
male,44,25 - 45,african-american,2,0,0,19,m,battery,9,high,1,male-african-american
male,28,25 - 45,african-american,0,0,0,1,f,aggrav stalking after injunctn,4,low,0,male-african-american
male,54,greater than 45,caucasian,0,0,0,0,f,agg battery grt/bod/harm,1,low,0,male-caucasian
male,43,25 - 45,caucasian,0,0,0,0,m,dui property damage/injury,4,low,0,male-caucasian
male,31,25 - 45,african-american,0,0,0,5,m,battery,10,high,0,male-african-american
male,30,25 - 45,african-american,4,1,0,11,f,pos cannabis w/intent sel/del,10,high,0,male-african-american
male,24,less than 25,african-american,0,0,0,0,m,possess drug paraphernalia,7,medium,0,male-african-american
male,43,25 - 45,caucasian,0,0,0,0,m,susp drivers lic 1st offense,1,low,0,male-caucasian
male,24,less than 25,hispanic,0,0,0,11,f,solicit deliver cocaine,10,high,1,male-hispanic
male,23,less than 25,african-american,0,0,0,0,f,pos cannabis w/intent sel/del,3,low,0,male-african-american
male,27,25 - 45,caucasian,0,0,0,1,f,arrest case no charge,9,high,0,male-caucasian
male,66,greater than 45,caucasian,0,0,0,0,m,battery,1,low,0,male-caucasian
female,36,25 - 45,caucasian,0,0,1,3,f,possession of cocaine,4,low,0,female-caucasian
female,22,less than 25,african-american,0,0,0,0,m,battery,7,medium,1,female-african-american
male,25,25 - 45,hispanic,0,0,1,1,f,crimin mischief damage $1000+,3,low,0,male-hispanic
male,56,greater than 45,african-american,0,0,0,4,f,possession of cocaine,1,low,0,male-african-american
female,58,greater than 45,african-american,0,0,0,3,m,arrest case no charge,1,low,0,female-african-american
male,24,less than 25,caucasian,0,1,2,3,m,dui level 0.15 or minor in veh,5,medium,0,male-caucasian
male,22,less than 25,african-american,0,0,0,0,f,burglary dwelling armed,3,low,1,male-african-american
male,39,25 - 45,caucasian,0,0,0,0,m,battery,1,low,0,male-caucasian
male,23,less than 25,caucasian,0,0,0,0,m,viol pretrial release dom viol,8,high,1,male-caucasian
male,39,25 - 45,other,0,0,0,6,f,burglary unoccupied dwelling,5,medium,0,male-other
male,25,25 - 45,african-american,0,0,0,0,f,felony battery,8,high,0,male-african-american
male,26,25 - 45,african-american,0,0,0,6,f,arrest case no charge,6,medium,0,male-african-american
male,25,25 - 45,african-american,0,0,1,2,f,possession burglary tools,9,high,0,male-african-american
male,36,25 - 45,african-american,0,0,0,0,f,grand theft in the 3rd degree,1,low,0,male-african-american
male,35,25 - 45,african-american,0,0,0,7,f,resist officer w/violence,4,low,1,male-african-american
male,22,less than 25,african-american,0,0,0,2,f,crim use of personal id info,4,low,1,male-african-american
male,25,25 - 45,caucasian,0,0,0,0,f,aggravated battery,2,low,0,male-caucasian
male,36,25 - 45,hispanic,0,0,0,0,m,operating w/o valid license,1,low,0,male-hispanic
male,24,less than 25,african-american,0,0,0,2,m,susp drivers lic 1st offense,7,medium,1,male-african-american
male,29,25 - 45,caucasian,0,0,0,0,m,dui property damage/injury,3,low,0,male-caucasian
male,50,greater than 45,caucasian,0,0,0,8,f,dwi w/inj susp lic / habit off,3,low,0,male-caucasian
male,27,25 - 45,african-american,0,0,0,0,m,battery,1,low,0,male-african-american
male,21,less than 25,hispanic,0,0,0,1,m,possess cannabis/20 grams or less,5,medium,1,male-hispanic
male,58,greater than 45,african-american,0,0,0,1,f,arrest case no charge,1,low,0,male-african-american
male,27,25 - 45,african-american,0,0,0,4,f,"deliver 3,4 methylenediox",8,high,0,male-african-american
female,31,25 - 45,caucasian,0,0,0,0,m,battery,3,low,0,female-caucasian
male,24,less than 25,african-american,0,0,0,3,m,arrest case no charge,7,medium,0,male-african-american
male,43,25 - 45,caucasian,0,0,0,0,m,dui- enhanced,1,low,0,male-caucasian
male,23,less than 25,african-american,0,0,0,0,f,burglary unoccupied dwelling,5,medium,0,male-african-american
male,42,25 - 45,caucasian,0,0,0,0,m,driving under the influence,4,low,0,male-caucasian
male,30,25 - 45,african-american,0,3,0,18,m,battery,10,high,0,male-african-american
male,29,25 - 45,african-american,0,0,0,1,f,false imprisonment,9,high,0,male-african-american
male,26,25 - 45,caucasian,0,0,1,3,m,petit theft $100- $300,4,low,0,male-caucasian
male,51,greater than 45,african-american,0,0,0,5,m,driving license suspended,7,medium,0,male-african-american
male,36,25 - 45,other,0,0,0,0,m,battery,1,low,0,male-other
male,62,greater than 45,hispanic,0,0,0,0,m,battery,1,low,0,male-hispanic
male,35,25 - 45,african-american,0,0,0,1,m,violation license restrictions,2,low,0,male-african-american
male,22,less than 25,caucasian,0,0,0,0,f,"poss3,4 methylenedioxymethcath",3,low,0,male-caucasian
male,40,25 - 45,african-american,0,0,0,0,f,stalking (aggravated),2,low,0,male-african-american
male,36,25 - 45,african-american,0,0,0,2,f,possession of cocaine,2,low,0,male-african-american
male,69,greater than 45,caucasian,0,0,0,0,m,dui level 0.15 or minor in veh,1,low,0,male-caucasian
male,27,25 - 45,african-american,0,1,0,1,f,grand theft in the 3rd degree,4,low,0,male-african-american
male,27,25 - 45,african-american,0,0,0,1,f,throw deadly missile into veh,1,low,0,male-african-american
female,24,less than 25,african-american,0,0,0,6,m,arrest case no charge,6,medium,0,female-african-american
male,42,25 - 45,caucasian,0,0,0,0,f,aggravated assault w/firearm,1,low,0,male-caucasian
male,25,25 - 45,caucasian,0,0,0,1,f,burglary conveyance unoccup,3,low,0,male-caucasian
male,25,25 - 45,african-american,0,0,0,0,f,uttering a forged instrument,4,low,0,male-african-american
male,22,less than 25,african-american,0,0,0,0,f,pos cannabis w/intent sel/del,3,low,0,male-african-american
male,21,less than 25,caucasian,0,0,0,0,f,burglary structure unoccup,4,low,0,male-caucasian
male,30,25 - 45,african-american,0,0,0,1,m,battery,2,low,0,male-african-american
male,46,greater than 45,caucasian,0,0,0,9,m,battery,5,medium,0,male-caucasian
male,26,25 - 45,african-american,0,0,0,2,m,battery,7,medium,0,male-african-american
male,40,25 - 45,african-american,0,0,0,1,m,battery,1,low,0,male-african-american
male,34,25 - 45,caucasian,0,0,0,0,f,possession of cocaine,4,low,0,male-caucasian
male,28,25 - 45,hispanic,0,0,0,3,m,arrest case no charge,5,medium,0,male-hispanic
male,59,greater than 45,caucasian,0,0,0,3,m,driving under the influence,1,low,1,male-caucasian
male,37,25 - 45,native american,0,0,0,0,f,"aggr child abuse-torture,punish",2,low,0,male-native american
male,50,greater than 45,african-american,0,0,0,0,f,aggravated battery / pregnant,1,low,0,male-african-american
male,57,greater than 45,african-american,0,0,0,8,f,felony battery w/prior convict,5,medium,1,male-african-american
male,31,25 - 45,african-american,0,0,0,5,m,assault,5,medium,0,male-african-american
male,44,25 - 45,african-american,0,0,0,9,f,grand theft in the 3rd degree,8,high,0,male-african-american
female,25,25 - 45,caucasian,0,0,0,0,f,grand theft in the 3rd degree,4,low,0,female-caucasian
male,51,greater than 45,african-american,0,0,0,5,m,arrest case no charge,3,low,0,male-african-american
male,57,greater than 45,caucasian,0,0,0,2,f,arrest case no charge,1,low,0,male-caucasian
male,55,greater than 45,caucasian,0,0,0,0,m,dui - enhanced,1,low,0,male-caucasian
female,42,25 - 45,african-american,0,0,0,0,f,aggrav battery w/deadly weapon,1,low,0,female-african-american
male,21,less than 25,other,0,0,0,0,f,purchase cannabis,4,low,0,male-other
female,24,less than 25,hispanic,0,0,0,0,m,battery,4,low,0,female-hispanic
male,42,25 - 45,african-american,0,0,0,1,f,tampering with physical evidence,4,low,0,male-african-american
male,21,less than 25,african-american,0,0,0,1,f,arrest case no charge,6,medium,0,male-african-american
male,58,greater than 45,caucasian,0,0,0,0,m,dui blood alcohol above 0.20,1,low,0,male-caucasian
male,46,greater than 45,african-american,0,0,0,2,f,grand theft in the 3rd degree,9,high,0,male-african-american
male,35,25 - 45,african-american,0,0,0,4,m,battery,5,medium,0,male-african-american
male,42,25 - 45,african-american,0,0,0,2,f,possession of cocaine,5,medium,0,male-african-american
male,32,25 - 45,african-american,0,0,1,8,f,aggravated battery / pregnant,4,low,0,male-african-american
male,31,25 - 45,other,0,0,0,5,f,grand theft in the 3rd degree,6,medium,0,male-other
female,33,25 - 45,african-american,0,0,0,1,m,battery,1,low,0,female-african-american
male,25,25 - 45,caucasian,0,0,0,4,f,robbery / no weapon,4,low,0,male-caucasian
female,33,25 - 45,african-american,0,0,0,0,m,battery,1,low,0,female-african-american
male,21,less than 25,hispanic,0,0,0,1,f,arrest case no charge,5,medium,0,male-hispanic
male,56,greater than 45,african-american,0,0,0,1,f,arrest case no charge,1,low,0,male-african-american
male,38,25 - 45,caucasian,0,0,0,0,m,battery,3,low,1,male-caucasian
female,40,25 - 45,african-american,0,0,0,4,m,arrest case no charge,1,low,0,female-african-american
male,28,25 - 45,african-american,0,0,1,4,f,grand theft in the 3rd degree,4,low,0,male-african-american
male,51,greater than 45,african-american,0,0,0,0,m,battery,1,low,0,male-african-american
male,35,25 - 45,african-american,0,0,0,2,m,battery,2,low,0,male-african-american
male,61,greater than 45,african-american,0,0,0,5,f,possession of cocaine,2,low,0,male-african-american
male,25,25 - 45,african-american,0,0,0,0,f,poss unlaw issue driver licenc,3,low,0,male-african-american
male,26,25 - 45,african-american,0,0,0,0,m,petit theft,5,medium,0,male-african-american
male,42,25 - 45,caucasian,0,0,0,1,m,battery,1,low,0,male-caucasian
female,25,25 - 45,african-american,0,0,0,1,f,grand theft in the 3rd degree,4,low,0,female-african-american
male,31,25 - 45,african-american,0,0,0,9,f,poss of methylethcathinone,7,medium,0,male-african-american
male,35,25 - 45,caucasian,0,0,1,1,f,possession of cocaine,2,low,0,male-caucasian
male,34,25 - 45,caucasian,0,0,0,0,f,lewd/lasc battery pers 12+/<16,1,low,0,male-caucasian
female,33,25 - 45,caucasian,0,0,0,1,m,battery,2,low,0,female-caucasian
male,30,25 - 45,african-american,0,0,1,3,f,carrying concealed firearm,2,low,0,male-african-american
female,50,greater than 45,african-american,0,0,0,7,m,battery,4,low,0,female-african-american
male,21,less than 25,african-american,0,0,0,0,f,burglary dwelling armed,5,medium,0,male-african-american
female,23,less than 25,african-american,0,0,0,0,m,battery,4,low,0,female-african-american
male,25,25 - 45,african-american,0,0,0,1,f,burglary conveyance unoccup,6,medium,0,male-african-american
female,24,less than 25,caucasian,0,0,0,1,f,arrest case no charge,5,medium,0,female-caucasian
male,60,greater than 45,african-american,0,0,0,0,f,grand theft in the 3rd degree,1,low,0,male-african-american
male,30,25 - 45,african-american,0,0,0,2,f,arrest case no charge,2,low,0,male-african-american
female,32,25 - 45,other,0,0,0,0,m,battery,1,low,0,female-other
male,46,greater than 45,caucasian,0,0,0,0,m,driving under the influence,1,low,0,male-caucasian
male,21,less than 25,caucasian,0,0,1,0,m,battery,4,low,1,male-caucasian
male,35,25 - 45,african-american,0,0,0,0,f,pos cannabis w/intent sel/del,8,high,0,male-african-american
male,28,25 - 45,african-american,0,0,0,2,m,resist/obstruct w/o violence,4,low,0,male-african-american
male,46,greater than 45,caucasian,0,0,1,2,m,possess cannabis/20 grams or less,4,low,0,male-caucasian
male,56,greater than 45,african-american,0,0,0,1,f,arrest case no charge,2,low,0,male-african-american
male,24,less than 25,african-american,0,0,0,1,m,battery,4,low,1,male-african-american
female,33,25 - 45,caucasian,0,0,0,0,m,battery,1,low,0,female-caucasian
male,48,greater than 45,caucasian,0,0,0,2,m,arrest case no charge,8,high,0,male-caucasian
male,25,25 - 45,hispanic,0,0,0,0,f,poss contr subst w/o prescript,7,medium,0,male-hispanic
male,37,25 - 45,hispanic,0,0,0,0,f,tamper with witness/victim/ci,3,low,1,male-hispanic
female,43,25 - 45,caucasian,0,0,0,7,f,agg battery grt/bod/harm,8,high,0,female-caucasian
male,32,25 - 45,caucasian,0,0,0,0,f,driving while license revoked,3,low,0,male-caucasian
male,33,25 - 45,other,0,0,0,3,f,arrest case no charge,7,medium,0,male-other
male,49,greater than 45,caucasian,0,0,0,4,f,aggravated assault w/firearm,1,low,0,male-caucasian
male,24,less than 25,caucasian,0,0,0,0,f,robbery w/deadly weapon,4,low,0,male-caucasian
male,26,25 - 45,african-american,0,0,0,1,f,grand theft (motor vehicle),9,high,0,male-african-american
male,42,25 - 45,caucasian,0,0,0,0,f,aggrav battery w/deadly weapon,2,low,0,male-caucasian
male,36,25 - 45,hispanic,0,0,0,0,f,grand theft in the 3rd degree,1,low,0,male-hispanic
male,29,25 - 45,caucasian,0,0,1,7,m,battery,7,medium,1,male-caucasian
male,39,25 - 45,caucasian,0,0,0,0,m,battery,3,low,0,male-caucasian
male,53,greater than 45,caucasian,0,0,0,0,m,battery,1,low,0,male-caucasian
male,21,less than 25,other,0,0,0,0,f,burglary structure unoccup,5,medium,1,male-other
male,41,25 - 45,african-american,0,0,0,4,f,child abuse,5,medium,0,male-african-american
male,22,less than 25,caucasian,0,0,2,5,f,possession of alprazolam,8,high,1,male-caucasian
male,22,less than 25,caucasian,0,0,2,0,f,grand theft (motor vehicle),7,medium,1,male-caucasian
male,25,25 - 45,african-american,0,0,0,2,f,pos cannabis w/intent sel/del,5,medium,0,male-african-american
male,51,greater than 45,other,0,0,0,2,f,arrest case no charge,1,low,0,male-other
male,24,less than 25,african-american,0,0,1,0,f,possession of cannabis,3,low,0,male-african-american
male,37,25 - 45,african-american,0,0,0,4,f,arrest case no charge,4,low,0,male-african-american
male,37,25 - 45,caucasian,0,0,0,0,m,possess cannabis/20 grams or less,1,low,0,male-caucasian
female,27,25 - 45,other,0,0,0,0,m,battery,2,low,0,female-other
male,21,less than 25,other,0,0,0,0,f,robbery / no weapon,6,medium,0,male-other
male,35,25 - 45,african-american,0,0,0,1,f,aggravated battery / pregnant,1,low,1,male-african-american
female,24,less than 25,caucasian,0,0,0,0,f,possession of cocaine,8,high,0,female-caucasian
male,49,greater than 45,caucasian,0,0,0,2,m,dui property damage/injury,1,low,0,male-caucasian
male,38,25 - 45,african-american,0,0,0,9,f,arrest case no charge,6,medium,0,male-african-american
male,61,greater than 45,other,0,0,0,0,m,dui level 0.15 or minor in veh,1,low,0,male-other
female,30,25 - 45,african-american,0,0,0,0,m,battery,2,low,0,female-african-american
male,22,less than 25,african-american,0,0,0,3,f,battery on a person over 65,6,medium,0,male-african-american
male,52,greater than 45,caucasian,0,0,0,0,m,driving under the influence,1,low,0,male-caucasian
male,26,25 - 45,caucasian,0,0,0,0,f,aggravated battery / pregnant,2,low,0,male-caucasian
male,26,25 - 45,other,0,0,0,0,m,battery,4,low,0,male-other
male,29,25 - 45,african-american,0,0,0,4,f,arrest case no charge,8,high,0,male-african-american
male,26,25 - 45,caucasian,0,0,0,2,f,d.u.i. serious bodily injury,5,medium,0,male-caucasian
female,46,greater than 45,african-american,0,0,0,4,f,arrest case no charge,4,low,0,female-african-american
female,46,greater than 45,african-american,0,0,0,0,f,felony driving while lic suspd,1,low,0,female-african-american
male,29,25 - 45,african-american,0,0,0,12,f,possession of cocaine,10,high,1,male-african-american
male,41,25 - 45,caucasian,0,0,0,0,m,dui property damage/injury,1,low,0,male-caucasian
female,25,25 - 45,african-american,0,0,0,5,f,poss anti-shoplifting device,7,medium,0,female-african-american
male,23,less than 25,african-american,1,0,0,2,f,deliver cocaine,7,medium,0,male-african-american
male,30,25 - 45,caucasian,0,0,0,0,m,dui property damage/injury,3,low,0,male-caucasian
male,34,25 - 45,caucasian,0,0,0,1,f,arrest case no charge,6,medium,0,male-caucasian
male,52,greater than 45,caucasian,0,0,0,2,f,arrest case no charge,1,low,0,male-caucasian
male,51,greater than 45,african-american,0,0,0,4,m,susp drivers lic 1st offense,2,low,0,male-african-american
female,49,greater than 45,caucasian,0,0,0,1,f,arrest case no charge,1,low,0,female-caucasian
female,47,greater than 45,caucasian,0,0,0,0,f,battery on law enforc officer,1,low,0,female-caucasian
male,27,25 - 45,african-american,0,0,0,0,m,battery,2,low,0,male-african-american
male,21,less than 25,african-american,0,0,0,0,f,burglary structure unoccup,6,medium,0,male-african-american
male,30,25 - 45,caucasian,0,0,0,3,f,crimin mischief damage $1000+,4,low,1,male-caucasian
male,70,greater than 45,caucasian,0,0,0,0,m,dui property damage/injury,1,low,0,male-caucasian
male,38,25 - 45,african-american,0,0,0,15,f,aggravated assault w/firearm,6,medium,0,male-african-american
male,29,25 - 45,african-american,0,0,0,0,f,crim use of personal id info,4,low,0,male-african-american
male,38,25 - 45,hispanic,0,0,0,3,f,possession of cocaine,4,low,0,male-hispanic
female,27,25 - 45,caucasian,0,0,0,0,f,possession of cannabis,3,low,0,female-caucasian
male,44,25 - 45,hispanic,0,0,0,0,m,driving under the influence,1,low,0,male-hispanic
male,31,25 - 45,caucasian,0,0,0,6,m,battery,5,medium,0,male-caucasian
female,30,25 - 45,african-american,0,0,0,0,m,battery,2,low,0,female-african-american
male,40,25 - 45,african-american,0,0,0,3,f,driving while license revoked,2,low,0,male-african-american
male,33,25 - 45,caucasian,0,0,0,1,m,susp drivers lic 1st offense,3,low,0,male-caucasian
male,31,25 - 45,hispanic,0,1,0,1,m,possess cannabis/20 grams or less,3,low,0,male-hispanic
male,61,greater than 45,caucasian,0,0,0,1,m,dui property damage/injury,1,low,0,male-caucasian
male,30,25 - 45,caucasian,0,0,0,2,f,use of 2 way device to fac fel,4,low,0,male-caucasian
male,62,greater than 45,caucasian,0,0,0,0,m,assault,1,low,0,male-caucasian
male,48,greater than 45,caucasian,0,0,0,9,f,grand theft (motor vehicle),6,medium,0,male-caucasian
female,40,25 - 45,caucasian,0,0,0,0,f,possession of cocaine,2,low,0,female-caucasian
male,24,less than 25,caucasian,0,0,0,0,f,possession of methamphetamine,4,low,0,male-caucasian
male,63,greater than 45,caucasian,0,0,0,0,m,dui property damage/injury,1,low,0,male-caucasian
male,33,25 - 45,african-american,0,0,0,4,f,possession of cocaine,10,high,0,male-african-american
male,51,greater than 45,african-american,0,0,0,1,f,neglect child / no bodily harm,1,low,0,male-african-american
male,39,25 - 45,caucasian,0,0,0,3,f,arrest case no charge,1,low,1,male-caucasian
male,22,less than 25,african-american,0,0,0,0,m,petit theft,6,medium,0,male-african-american
male,59,greater than 45,caucasian,0,0,0,0,f,possession of cocaine,1,low,0,male-caucasian
male,38,25 - 45,african-american,0,5,0,37,m,arrest case no charge,7,medium,1,male-african-american
male,23,less than 25,african-american,0,0,0,2,f,arrest case no charge,6,medium,0,male-african-american
male,38,25 - 45,african-american,0,0,0,2,f,burglary dwelling assault/batt,7,medium,1,male-african-american
female,34,25 - 45,caucasian,0,0,0,2,f,possession of cannabis,3,low,0,female-caucasian
male,31,25 - 45,african-american,0,0,0,1,f,felony battery (dom strang),1,low,0,male-african-american
male,43,25 - 45,african-american,0,0,0,0,f,deliver cannabis,4,low,0,male-african-american
